img,method,starting colors,k,n_points,comp type,time,world_size
6,OMP,74563,29,1572516,light,0.0434522,6
6,OMP,74563,29,1572516,light,0.0455945,8
6,MPI,74563,29,1572516,light,0.0760423,2
6,MPI,74563,29,1572516,light,0.0615021,3
6,MPI,74563,29,1572516,light,0.0465621,4
6,Sequential,74563,29,1572516,light,0.122137,0
7,OMP,74563,29,1833316,light,0.0598656,4
7,OMP,74563,29,1833316,light,0.0548095,6
7,OMP,74563,29,1833316,light,0.0549318,8
7,MPI,74563,29,1833316,light,0.102813,2
7,MPI,74563,29,1833316,light,0.0666638,3
7,MPI,74563,29,1833316,light,0.0596305,4
7,Sequential,74563,29,1833316,light,0.146119,0
8,OMP,74563,29,2096704,light,0.0741944,4
8,OMP,74563,29,2096704,light,0.0651774,6
8,OMP,74563,29,2096704,light,0.0706841,8
8,MPI,74563,29,2096704,light,0.0977401,2
8,MPI,74563,29,2096704,light,0.0771934,3
8,MPI,74563,29,2096704,light,0.0616477,4
8,Sequential,74563,29,2096704,light,0.171358,0
9,OMP,74563,29,2359296,light,0.0879155,4
9,OMP,74563,29,2359296,light,0.0832323,6
9,OMP,74563,29,2359296,light,0.0883315,8
9,MPI,74563,29,2359296,light,0.119072,2
9,MPI,74563,29,2359296,light,0.0920768,3
9,MPI,74563,29,2359296,light,0.0791081,4
9,Sequential,74563,29,2359296,light,0.194229,0
10,OMP,74563,29,2621161,light,0.095105,4
10,OMP,74563,29,2621161,light,0.0893581,6
10,OMP,74563,29,2621161,light,0.0970362,8
10,MPI,74563,29,2621161,light,0.126067,2
10,MPI,74563,29,2621161,light,0.104377,3
10,MPI,74563,29,2621161,light,0.0937824,4
10,Sequential,74563,29,2621161,light,0.216165,0
11,OMP,74563,29,2883204,light,0.108832,4
11,OMP,74563,29,2883204,light,0.0963896,6
11,OMP,74563,29,2883204,light,0.105838,8
11,MPI,74563,29,2883204,light,0.15748,2
11,MPI,74563,29,2883204,light,0.11628,3
11,MPI,74563,29,2883204,light,0.0874766,4
11,Sequential,74563,29,2883204,light,0.240959,0
12,OMP,74563,29,3143529,light,0.120004,4
12,OMP,74563,29,3143529,light,0.106928,6
12,OMP,74563,29,3143529,light,0.114828,8
12,MPI,74563,29,3143529,light,0.160491,2
12,MPI,74563,29,3143529,light,0.129183,3
12,MPI,74563,29,3143529,light,0.110081,4
12,Sequential,74563,29,3143529,light,0.264043,0
1,OMP,74563,29,262144,light,0.00997973,4
1,OMP,74563,29,262144,light,0.00888846,6
1,OMP,74563,29,262144,light,0.00869013,8
1,MPI,74563,29,262144,light,0.0155113,2
1,MPI,74563,29,262144,light,0.0113506,3
1,MPI,74563,29,262144,light,0.00927666,4
1,Sequential,74563,29,262144,light,0.020772,0
2,OMP,74563,29,524176,light,0.0171836,4
2,OMP,74563,29,524176,light,0.0165825,6
2,OMP,74563,29,524176,light,0.0153743,8
2,MPI,74563,29,524176,light,0.0309374,2
2,MPI,74563,29,524176,light,0.0206613,3
2,MPI,74563,29,524176,light,0.0182503,4
2,Sequential,74563,29,524176,light,0.0413183,0
3,OMP,74563,29,784996,light,0.025009,4
3,OMP,74563,29,784996,light,0.0218548,6
3,OMP,74563,29,784996,light,0.0237652,8
3,MPI,74563,29,784996,light,0.041761,2
3,MPI,74563,29,784996,light,0.0324485,3
3,MPI,74563,29,784996,light,0.0228202,4
3,Sequential,74563,29,784996,light,0.0612619,0
4,OMP,74563,29,1048576,light,0.0348026,4
4,OMP,74563,29,1048576,light,0.0294818,6
4,OMP,74563,29,1048576,light,0.0305385,8
4,MPI,74563,29,1048576,light,0.0567416,2
4,MPI,74563,29,1048576,light,0.0384088,3
4,MPI,74563,29,1048576,light,0.0346543,4
4,Sequential,74563,29,1048576,light,0.0806587,0
5,OMP,74563,29,1308736,light,0.0418877,4
5,OMP,74563,29,1308736,light,0.0361599,6
5,OMP,74563,29,1308736,light,0.0375274,8
5,MPI,74563,29,1308736,light,0.0649441,2
5,MPI,74563,29,1308736,light,0.050506,3
5,MPI,74563,29,1308736,light,0.0455675,4
5,Sequential,74563,29,1308736,light,0.102397,0
6,OMP,74563,29,1572516,light,0.0496997,4
6,OMP,74563,29,1572516,light,0.0482076,6
6,OMP,74563,29,1572516,light,0.0439298,8
6,MPI,74563,29,1572516,light,0.0804356,2
6,MPI,74563,29,1572516,light,0.0575854,3
6,MPI,74563,29,1572516,light,0.0484526,4
6,Sequential,74563,29,1572516,light,0.123196,0
7,OMP,74563,29,1833316,light,0.0611492,4
7,OMP,74563,29,1833316,light,0.0524318,6
7,OMP,74563,29,1833316,light,0.0541402,8
7,MPI,74563,29,1833316,light,0.0960423,2
7,MPI,74563,29,1833316,light,0.0680669,3
7,MPI,74563,29,1833316,light,0.0659378,4
7,Sequential,74563,29,1833316,light,0.145987,0
8,OMP,74563,29,2096704,light,0.0753146,4
8,OMP,74563,29,2096704,light,0.064534,6
8,OMP,74563,29,2096704,light,0.0666745,8
8,MPI,74563,29,2096704,light,0.107733,2
8,MPI,74563,29,2096704,light,0.0845639,3
8,MPI,74563,29,2096704,light,0.0653465,4
8,Sequential,74563,29,2096704,light,0.169465,0
9,OMP,74563,29,2359296,light,0.08877,4
9,OMP,74563,29,2359296,light,0.0807438,6
9,OMP,74563,29,2359296,light,0.0820174,8
9,MPI,74563,29,2359296,light,0.126528,2
9,MPI,74563,29,2359296,light,0.0837316,3
9,MPI,74563,29,2359296,light,0.0655322,4
9,Sequential,74563,29,2359296,light,0.197067,0
10,OMP,74563,29,2621161,light,0.0964172,4
10,OMP,74563,29,2621161,light,0.0885658,6
10,OMP,74563,29,2621161,light,0.0912227,8
10,MPI,74563,29,2621161,light,0.137334,2
10,MPI,74563,29,2621161,light,0.110674,3
10,MPI,74563,29,2621161,light,0.0920274,4
10,Sequential,74563,29,2621161,light,0.218932,0
11,OMP,74563,29,2883204,light,0.109324,4
11,OMP,74563,29,2883204,light,0.0993349,6
11,OMP,74563,29,2883204,light,0.0995476,8
11,MPI,74563,29,2883204,light,0.144944,2
11,MPI,74563,29,2883204,light,0.116674,3
11,MPI,74563,29,2883204,light,0.0833088,4
11,Sequential,74563,29,2883204,light,0.239835,0
12,OMP,74563,29,3143529,light,0.122434,4
12,OMP,74563,29,3143529,light,0.104894,6
12,OMP,74563,29,3143529,light,0.108116,8
12,MPI,74563,29,3143529,light,0.149323,2
12,MPI,74563,29,3143529,light,0.107763,3
12,MPI,74563,29,3143529,light,0.0954896,4
12,Sequential,74563,29,3143529,light,0.26238,0
1,OMP,74563,29,262144,light,0.0089922,4
1,OMP,74563,29,262144,light,0.00891424,6
1,OMP,74563,29,262144,light,0.00806344,8
1,MPI,74563,29,262144,light,0.0151895,2
1,MPI,74563,29,262144,light,0.0105629,3
1,MPI,74563,29,262144,light,0.0106693,4
1,Sequential,74563,29,262144,light,0.0210522,0
2,OMP,74563,29,524176,light,0.018093,4
2,OMP,74563,29,524176,light,0.0158804,6
2,OMP,74563,29,524176,light,0.0158129,8
