img,method,starting colors,k,n_points,comp type,time,world_size
7,MPI,74563,29,1833316,light,0.167947,2
7,MPI,74563,29,1833316,light,0.123673,3
7,MPI,74563,29,1833316,light,0.0945141,4
7,Sequential,74563,29,1833316,light,0.273642,0
8,OMP,74563,29,2096704,light,0.195451,2
8,OMP,74563,29,2096704,light,0.157416,3
8,OMP,74563,29,2096704,light,0.137298,4
8,MPI,74563,29,2096704,light,0.18666,2
8,MPI,74563,29,2096704,light,0.138229,3
8,MPI,74563,29,2096704,light,0.103647,4
8,Sequential,74563,29,2096704,light,0.315497,0
9,OMP,74563,29,2359296,light,0.222367,2
9,OMP,74563,29,2359296,light,0.178803,3
9,OMP,74563,29,2359296,light,0.156104,4
9,MPI,74563,29,2359296,light,0.217085,2
9,MPI,74563,29,2359296,light,0.155843,3
9,MPI,74563,29,2359296,light,0.11138,4
9,Sequential,74563,29,2359296,light,0.358159,0
10,OMP,74563,29,2621161,light,0.250055,2
10,OMP,74563,29,2621161,light,0.19819,3
10,OMP,74563,29,2621161,light,0.171822,4
10,MPI,74563,29,2621161,light,0.227241,2
10,MPI,74563,29,2621161,light,0.175384,3
10,MPI,74563,29,2621161,light,0.125278,4
10,Sequential,74563,29,2621161,light,0.397018,0
11,OMP,74563,29,2883204,light,0.277663,2
11,OMP,74563,29,2883204,light,0.218626,3
11,OMP,74563,29,2883204,light,0.185803,4
11,MPI,74563,29,2883204,light,0.250837,2
11,MPI,74563,29,2883204,light,0.184134,3
11,MPI,74563,29,2883204,light,0.141032,4
11,Sequential,74563,29,2883204,light,0.436453,0
12,OMP,74563,29,3143529,light,0.297139,2
12,OMP,74563,29,3143529,light,0.238285,3
12,OMP,74563,29,3143529,light,0.2086,4
12,MPI,74563,29,3143529,light,0.289178,2
12,MPI,74563,29,3143529,light,0.181345,3
12,MPI,74563,29,3143529,light,0.163838,4
12,Sequential,74563,29,3143529,light,0.481755,0
1,OMP,74563,29,262144,light,0.0257139,2
1,OMP,74563,29,262144,light,0.0213294,3
1,OMP,74563,29,262144,light,0.0211586,4
1,MPI,74563,29,262144,light,0.0288571,2
1,MPI,74563,29,262144,light,0.0217346,3
1,MPI,74563,29,262144,light,0.01616,4
1,Sequential,74563,29,262144,light,0.0407336,0
2,OMP,74563,29,524176,light,0.047726,2
2,OMP,74563,29,524176,light,0.0383559,3
2,OMP,74563,29,524176,light,0.0326592,4
2,MPI,74563,29,524176,light,0.0511547,2
